year,month,day,statefips,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,22,27,0,0,.,0,0,.,.,.,.,.,.,.,.,.00266,.00545,.00469,-.0029,.00178,.00278,.00307,.00761
2020,1,22,28,0,0,.,0,0,.,.,.,.,.,.,.,.,.00196,.0017,.0043,-.00284,-.00315,.0104,.00287,-.0104
2020,1,22,29,0,0,.,0,0,.,.,.,.,.,.,.,.,.00149,.00341,.00235,-.00338,.000777,.00306,-.000806,.0000114
2020,1,22,30,0,0,.,0,0,.,.,.,.,.,.,.,.,.00554,.00417,.00659,.00461,.00508,.0134,-.000386,.00477
2020,1,22,31,0,0,.,0,0,.,.,.,.,.,.,.,.,-.000821,.00165,-.00176,-.00138,-.000698,-.00401,-.00594,-.00131
2020,1,22,32,0,0,.,0,0,.,.,.,.,.,.,.,.,.00261,.00207,.00319,.00202,-.0000193,.00197,.00919,-.00232
2020,1,22,33,0,0,.,0,0,.,.,.,.,.,.,.,.,.00353,.0077,.00214,.0026,.000441,.00703,.0057,.00251
2020,1,22,34,0,0,.,0,0,.,.,.,.,.,.,.,.,.00264,.00385,.00185,.00281,.0016,.00227,.00515,.00166
2020,1,22,35,0,0,.,0,0,.,.,.,.,.,.,.,.,.00632,.0119,.00509,-.00304,.00535,.0042,.00949,.000506
2020,1,22,36,0,0,.,0,0,.,.,.,.,.,.,.,.,.00381,.00486,.00448,.00199,.00437,.00345,.00403,.00199
2020,1,22,37,0,0,.,0,0,.,.,.,.,.,.,.,.,.00173,.0022,.00347,-.00288,-.000521,.00124,.00494,.00322
2020,1,22,38,0,0,.,0,0,.,.,.,.,.,.,.,.,.00933,.0169,.00556,.00717,.00793,.00517,.0144,.
2020,1,22,39,0,0,.,0,0,.,.,.,.,.,.,.,.,.00127,.00188,.00189,-.00133,.000719,.000699,.00403,.000654
2020,1,22,4,0,0,.,0,0,.,.,.,.,.,.,.,.,.000256,-.00312,.00308,-.00278,.00111,-.0105,.00304,.0041
2020,1,22,40,0,0,.,0,0,.,.,.,.,.,.,.,.,.0033,.0108,.000642,-.00205,.00109,.0112,.00222,.00476
2020,1,22,41,0,0,.,0,0,.,.,.,.,.,.,.,.,.0039,.00457,.0054,-.000757,.00415,.00288,.00485,.00205
2020,1,22,42,0,0,.,0,0,.,.,.,.,.,.,.,.,.00218,.00651,.00142,-.00141,.00091,.00317,.00276,.000548
2020,1,22,44,0,0,.,0,0,.,.,.,.,.,.,.,.,.00411,.0124,.0026,-.0000559,.00147,.00638,.00528,.00579
2020,1,22,45,0,0,.,0,0,.,.,.,.,.,.,.,.,.00357,.0033,.00582,-.00201,.00113,.00432,.00814,.00227
2020,1,22,46,0,0,.,0,0,.,.,.,.,.,.,.,.,.0114,.0261,.0152,.,.,.0000176,.,-.000728
2020,1,22,47,0,0,.,0,0,.,.,.,.,.,.,.,.,.00321,.00417,.00434,-.000927,.00129,.00294,.000302,.0094
2020,1,22,48,0,0,.,0,0,.,.,.,.,.,.,.,.,.00342,.00347,.00522,.0000276,.00265,.00493,.00327,.00169
2020,1,22,49,0,0,.,0,0,.,.,.,.,.,.,.,.,.00511,.0116,.00262,.00169,.00367,.00155,.00932,.00226
2020,1,22,5,0,0,.,0,0,.,.,.,.,.,.,.,.,-.00243,-.00476,.00143,.,.000207,.00017,.,-.0156
2020,1,22,50,0,0,.,0,0,.,.,.,.,.,.,.,.,.00101,.00945,.00177,-.0101,-.00283,.00378,.00704,.00245
2020,1,22,51,0,0,.,0,0,.,.,.,.,.,.,.,.,.000593,.00302,.00163,-.00249,.00054,-.000363,.00195,.00337
2020,1,22,53,1,0,0,.0131,0,0,.,.,.,.,.,.,.,.00696,-.0361,.01,.00505,.00596,.00388,.0123,.0124
2020,1,22,54,0,0,.,0,0,.,.,.,.,.,.,.,.,.0052,.0109,.00358,-.00317,.00184,.00193,-.00144,.0184
2020,1,22,55,0,0,.,0,0,.,.,.,.,.,.,.,.,.00368,.00953,.0021,-.000729,.00401,.00546,.000982,.00631
2020,1,22,56,0,0,.,0,0,.,.,.,.,.,.,.,.,.00595,.00188,.00286,.,-.00433,-.00132,.0034,-.00437
2020,1,22,6,0,0,.,0,0,.,.,.,.,.,.,.,.,.00444,-.00761,.00721,.00381,.00223,.00421,.00724,.00204
2020,1,22,8,0,0,.,0,0,.,.,.,.,.,.,.,.,.00365,.00502,.00507,.000766,.00428,.00486,.00301,.00425
2020,1,22,9,0,0,.,0,0,.,.,.,.,.,.,.,.,.00228,.00611,.00258,-.000847,.00144,.00559,.00123,.00147
2020,1,23,1,0,0,.,0,0,.,.,.,.,.,.,.,.,.00202,.00141,.00634,-.00685,-.000283,.00132,.00418,.00204
2020,1,23,10,0,0,.,0,0,.,.,.,.,.,.,.,.,.00229,.00397,.00177,.0016,.000721,.00372,-.00449,.00495
2020,1,23,11,0,0,.,0,0,.,.,.,.,.,.,.,.,.0039,.00113,.00614,.00213,-.00196,.00322,.01,.000818
2020,1,23,12,0,0,.,0,0,.,.,.,.,.,.,.,.,.00485,.0064,.00648,-.000823,.00655,.00419,.00581,.00279
2020,1,23,13,0,0,.,0,0,.,.,.,.,.,.,.,.,.0027,.0046,.00372,-.00144,.00207,.000342,.00527,.00162
2020,1,23,15,0,0,.,0,0,.,.,.,.,.,.,.,.,.0138,.0108,.0129,.,.00179,.0147,.00581,.00127
2020,1,23,16,0,0,.,0,0,.,.,.,.,.,.,.,.,.00653,.004,.00717,.00918,.0037,.0018,.0185,.0171
2020,1,23,17,0,0,.,0,0,.,.,.,.,.,.,.,.,.00329,.00315,.0045,.00143,.00369,.00667,.00442,-.000753
